Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-11146.694947446154	-11143.308304842441	N	-11146.694947446154	3.3866426037129216
1	-9987.582677767754	-9983.341850274475	2.0	-9987.582677767754	4.240827493278346
2	-9631.421460280306	-9631.233839091596	3.0	-9631.421460280306	0.18762118871046263
3	-9540.122393932585	-9536.910458971428	4.0	-9540.122393932585	3.211934961157349
4	-8820.223046871984	-8820.556250123336	3.7	-8820.223046871984	-0.33320325135125706
5	-8765.650300615196	-8770.588433998802	3.2	-8765.650300615196	-4.938133383606979
6	-8072.227455398953	-8075.558610170215	2.9	-8072.227455398953	-3.3311547712623777
7	-6583.741587936268	-6591.435817394757	3.2	-6583.741587936268	-7.6942294584883
8	-6007.674869270208	-6018.8128003033935	3.1	-6007.674869270208	-11.137931033185938
9	-5996.009829354396	-6011.314210253193	2.5	-5996.009829354396	-15.304380898796618
10	-5919.170157760702	-5926.971577922521	2.6	-5919.170157760702	-7.80142016181908
11	-5762.716323129102	-5771.9942212721435	2.4	-5762.716323129102	-9.277898143040858
12	-5653.042030828523	-5658.6273719446235	2.3	-5653.042030828523	-5.585341116101009
13	-5633.803066968111	-5642.1155187857175	2.3	-5633.803066968111	-8.312451817606249
14	-5620.703565269283	-5625.753782806467	2.4	-5620.703565269283	-5.050217537184316
15	-5615.133131996729	-5621.586147118495	2.5	-5615.133131996729	-6.453015121766297
16	-5613.997694244394	-5625.314358414193	2.6	-5613.997694244394	-11.31666416979888
17	-5602.001444961632	-5608.836925202088	2.7	-5602.001444961632	-6.835480240456086
18	-5580.751794851638	-5587.3143767557	2.9	-5580.751794851638	-6.562581904062121
19	-5562.17701197749	-5567.852526130942	3.1	-5562.17701197749	-5.675514153451945
20	-5550.368459840688	-5557.825438179573	3.3	-5550.368459840688	-7.456978338885273
21	-5536.529569271949	-5542.291526159647	3.5	-5536.529569271949	-5.761956887697751
22	-5536.52056351682	-5542.272400354976	3.6	-5536.52056351682	-5.751836838155088
23	-5536.119360165303	-5542.222970152699	3.7	-5536.119360165303	-6.103609987396396
24	-5535.577790398476	-5543.445789519743	3.8	-5535.577790398476	-7.867999121267076
25	-5534.967498786386	-5541.213438728033	4.0	-5534.967498786386	-6.245939941646328
26	-5533.331447749787	-5539.606220980151	4.1	-5533.331447749787	-6.274773230363872
27	-5533.091442699404	-5538.855617565569	4.2	-5533.091442699404	-5.764174866165606
28	-5532.9106066218255	-5540.569119639531	4.4	-5532.9106066218255	-7.6585130177054515
29	-5532.450139425735	-5538.355592607065	5.1	-5532.450139425735	-5.905453181329638
30	-5532.110026198399	-5538.275947037364	5.2	-5532.110026198399	-6.165920838964265
31	-5531.962670548388	-5537.944853691676	5.4	-5531.962670548388	-5.982183143288329
32	-5531.292526166408	-5537.088385842419	5.6	-5531.292526166408	-5.795859676010542
33	-5531.215274606823	-5537.0984131596315	5.8	-5531.215274606823	-5.883138552808084
34	-5531.208674102309	-5537.000299982195	5.9	-5531.208674102309	-5.791625879886857
35	-5531.09443542219	-5536.850683811477	6.1	-5531.09443542219	-5.756248389286817
36	-5531.052018212757	-5536.982493385376	6.2	-5531.052018212757	-5.9304751726192375
37	-5531.023614028635	-5537.582171427026	6.4	-5531.023614028635	-6.558557398390353
38	-5531.000749006329	-5537.43045721632	6.5	-5531.000749006329	-6.429708209990632
39	-5530.989790566042	-5536.895227856336	7.6	-5530.989790566042	-5.90543729029383
40	-5530.982857945715	-5536.969539827449	7.8	-5530.982857945715	-5.9866818817338725
41	-5530.980078721657	-5536.868712875489	7.9	-5530.980078721657	-5.888634153832173
42	-5530.8897173414025	-5536.881050722657	8.1	-5530.8897173414025	-5.991333381254951
43	-5530.876516790851	-5536.894777280843	8.3	-5530.876516790851	-6.018260489992313
44	-5530.861625114292	-5537.042862871971	8.5	-5530.861625114292	-6.181237757678477
45	-5530.851524514266	-5536.753832010609	8.7	-5530.851524514266	-5.902307496342502
