#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment_twin" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment_twin" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment_twin" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment_twin" name="distribution" x="@BDBirthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment_twin" name="distribution" x="@BDDeathRate.t:alignment_twin">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment_twin" name="distribution">
#            <parameter id="ucldStdev.c:alignment_twin" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.1" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment_twin" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment_twin">
#                <LogNormal S="@ucldStdev.c:alignment_twin" id="LogNormalDistributionModel.c:alignment_twin" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment_twin" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8328.765113749447	-8319.237368898985	-9.527744850462279	-8319.237368898985	3.6143155564587808	0.1	0.9789087664533511	0.004817612021413343	0.06821694221231839	-10.347108995583081	1.0	0.5
1000	-6243.527899225911	-6238.861775736327	-4.66612348958387	-6238.861775736327	0.96167082606574	0.27949121325375315	0.9986205829462551	0.040121957126367465	0.23184407771638946	-4.542292885388588	2.3574696009764464	0.43694325332063627
2000	-6240.826308293313	-6238.325241303741	-2.5010669895718642	-6238.325241303741	0.8653066071092607	0.28919001225367025	1.1646113205306692	0.1243489471162519	0.35023149250348634	-2.3361345401202156	1.8766866273667018	0.2881393622597058
3000	-6239.129859765051	-6236.1728894016	-2.9569703634514592	-6236.1728894016	0.9350985155630046	0.3581078605703995	1.0971817640078012	0.15883194479763504	0.4332313428765294	-2.5131668315791647	1.7132554212075413	0.12492212257281322
4000	-6241.8728386067	-6234.537258817474	-7.33557978922542	-6234.537258817474	1.1064601135253498	0.43600899865539106	0.9275957643844123	0.08566152132304425	0.35475069233295925	-6.597173265156707	3.480411707794545	0.12766230331610243
5000	-6242.039468954941	-6237.475528341731	-4.563940613210571	-6237.475528341731	0.861732417237129	0.49739741962949846	0.9470049014462313	0.24085237761920317	0.5562444931096829	-3.6041424738350725	0.721580974319617	0.2405712125822781
6000	-6244.505268528862	-6239.598906550598	-4.906361978263654	-6239.598906550598	1.044986859776511	0.49739741962949846	0.8887723527456024	0.05686922512550982	0.2873209393089454	-3.9465638388881557	1.1856829943151932	0.5995837655642929
7000	-6243.23230178366	-6237.349603467088	-5.882698316572256	-6237.349603467088	1.0428343924310621	0.41535328487749895	0.9469604552393663	0.10445599871305014	0.36301551664563714	-5.220723294097739	0.7775069368046417	0.8728466267221768
8000	-6241.545926553013	-6237.62363280206	-3.9222937509528197	-6237.62363280206	0.9634195024956772	0.4506303036199656	0.9832591523928074	0.16287051274248657	0.4571415478301722	-3.130415521459419	0.9831814849356764	0.528250248000439
9000	-6246.866101690387	-6243.3215146429675	-3.5445870474197125	-6243.3215146429675	0.9000915261957333	0.4647020179712559	0.971436518879459	0.18194282382061602	0.3963232490232365	-2.7017053374830517	1.2336086837557756	0.11996970069161711
10000	-6241.959329342273	-6239.747591883718	-2.2117374585547767	-6239.747591883718	1.0194070845264607	0.09157954291683962	0.9929306122631277	0.008582431479900869	0.0916445085296154	-3.0936482860361862	0.9347164170331006	0.16996163313294688
11000	-6241.976275606114	-6238.324563783273	-3.6517118228400216	-6238.324563783273	1.0405668907400503	0.18352784460036467	1.0400623818092714	0.03343991287051718	0.1752885917953759	-3.9728062974045555	2.5730729270305495	0.39960545157002386
12000	-6241.773863969756	-6238.960312023618	-2.8135519461382126	-6238.960312023618	0.9938563319223835	0.26319500779348637	0.995439867695837	0.03998151118115351	0.21483895641943793	-2.7600515529223446	0.8623451169035773	0.39818262012890315
13000	-6244.2612484353385	-6242.148017039102	-2.113231396236565	-6242.148017039102	1.2471377097276588	0.04470565707500649	1.0120059265713293	0.0010012275828934136	0.0314015513104095	-3.4480373232138666	0.2495019586232274	0.9195824647648183
14000	-6242.560197281259	-6240.021330037669	-2.538867243589926	-6240.021330037669	1.1754984720085633	0.0054206829522420565	0.9979244199558704	2.8055169222675506E-5	0.005305430746422814	-4.947928285689676	1.1098647224740674	0.8474886749046423
