"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6360.1435979189,7.42204934219191,2.60327244791115e-15,6.81825858979728
"2","GTR","relaxed_log_normal","yule",-6347.77755050679,5.41580576861417,0.000000000610978286290077,7.61839459316666
"3","GTR","strict","birth_death",-6353.58290641186,6.44407571331261,1.83988950002254e-12,4.68414365831157
"4","GTR","strict","yule",-6354.27711875992,5.3817071535972,9.18965376458313e-13,7.93167071507455
"5","HKY","relaxed_log_normal","birth_death",-6344.56744323311,4.06302102975397,0.0000000151411077925484,10.9233408497712
"6","HKY","relaxed_log_normal","yule",-6349.19321807065,5.37585022065993,0.000000000148323226718867,6.00436399691098
"7","HKY","strict","birth_death",-6347.96263931442,5.01103241899365,0.000000000507741577748954,9.44787615769645
"8","HKY","strict","yule",-6340.80930397191,4.54988590122978,0.000000649077858543723,11.7920990334501
"9","JC69","relaxed_log_normal","birth_death",-6328.62866063128,3.5042393866703,0.126556071018094,7.06670234264194
"10","JC69","relaxed_log_normal","yule",-6340.85614739108,4.43730252941817,0.000000619373979394969,5.75111945829644
"11","JC69","strict","birth_death",-6326.69694715222,3.24915968734148,0.873404626520459,4.69718445879688
"12","TN93","relaxed_log_normal","birth_death",-6361.91422184555,6.43257153138959,4.43146599534897e-16,10.1738987381477
"13","TN93","relaxed_log_normal","yule",-6341.07162781569,4.56470482013903,0.000000499310842501066,9.16653444553964
"14","TN93","strict","birth_death",-6336.75227289907,4.14883102102294,0.0000375182871074202,7.08182080219803
"15","TN93","strict","yule",-6354.48525552499,6.32381970827955,7.46288072131177e-13,7.82128883622271
