Sample	posterior	ESS(posterior)	likelihood	prior
0	-6850.797857769529	N	-6844.1770501241945	-6.620807645334903
1000	-5539.348585080979	2.0	-5536.63177861074	-2.716806470238991
2000	-5541.652361146599	3.0	-5538.354292380908	-3.2980687656911374
3000	-5543.4627807174265	4.0	-5538.470903162401	-4.991877555025682
4000	-5539.928346393229	5.0	-5537.361336432958	-2.5670099602711423
5000	-5540.223298347893	6.0	-5537.352329867346	-2.870968480546882
6000	-5541.300839488141	7.0	-5537.849745182451	-3.451094305689108
7000	-5541.96040052492	8.0	-5539.370269560048	-2.590130964872749
8000	-5541.020908816337	9.0	-5537.741743539913	-3.2791652764248798
9000	-5539.400591273254	9.0	-5536.699699214677	-2.7008920585772
10000	-5540.5403738894265	10.0	-5537.145143280812	-3.395230608614699
11000	-5540.9359245635715	11.0	-5537.772304845864	-3.1636197177078103
12000	-5544.263716258924	12.0	-5540.129608996169	-4.13410726275573
13000	-5542.931135998609	13.0	-5539.909990432451	-3.0211455661574425
14000	-5542.538801580847	14.0	-5536.879568764671	-5.659232816175576
15000	-5539.723367414376	15.0	-5536.909312029055	-2.814055385321061
16000	-5542.964424575454	16.0	-5539.141435571952	-3.822989003502738
17000	-5539.85649481945	17.0	-5536.767313721265	-3.089181098185133
18000	-5539.678151460911	18.0	-5536.73262490388	-2.9455265570314406
19000	-5539.298289624191	14.5	-5536.647353112464	-2.65093651172692
20000	-5540.8424838458495	14.5	-5537.427626727217	-3.4148571186326087
21000	-5542.634825459513	17.7	-5538.046644245903	-4.58818121361047
22000	-5541.8585184611575	18.0	-5538.899994777011	-2.9585236841464573
23000	-5539.4710510089935	22.0	-5536.367148819924	-3.1039021890695757
24000	-5540.352210188139	22.8	-5536.998298559	-3.35391162913849
25000	-5541.089496564023	23.6	-5537.696805459549	-3.392691104473389
26000	-5539.62193914622	23.3	-5536.845511382803	-2.77642776341686
27000	-5539.407595076851	22.3	-5535.639861829842	-3.7677332470090947
28000	-5542.961056811474	27.0	-5537.213975786955	-5.747081024518783
29000	-5543.590248981691	27.0	-5540.527512181086	-3.062736800604815
30000	-5539.5275230862435	28.0	-5536.549382981492	-2.9781401047514273
31000	-5545.535465288467	29.0	-5543.066571093224	-2.468894195242987
32000	-5541.560281613061	30.0	-5539.15495770377	-2.4053239092905363
33000	-5539.993823128445	31.0	-5536.216561803385	-3.777261325059918
34000	-5538.571836200934	32.0	-5535.613712767528	-2.9581234334053366
35000	-5541.696192924939	33.0	-5538.535087052552	-3.161105872387402
36000	-5542.155929841582	34.0	-5538.9705693332435	-3.185360508338428
37000	-5540.531194005832	35.0	-5537.193063709346	-3.3381302964862467
38000	-5539.49000871124	36.0	-5536.453658498363	-3.0363502128765854
39000	-5538.436353185203	36.0	-5535.646425339981	-2.789927845222024
40000	-5539.2939159849075	33.6	-5536.399261398464	-2.8946545864435738
41000	-5539.675599268004	31.3	-5536.174813141842	-3.5007861261617728
42000	-5542.390414849933	34.8	-5539.875771357219	-2.5146434927142507
43000	-5539.061562490117	35.9	-5536.099941273076	-2.9616212170401752
44000	-5541.827720054826	37.1	-5538.976024962837	-2.851695091989143
45000	-5540.469061045488	37.7	-5537.400921720135	-3.06813932535337
46000	-5542.027360795163	38.3	-5539.10693671644	-2.920424078723022
47000	-5540.8482347466	39.3	-5537.55657652182	-3.2916582247797685
