#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment_twin" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment_twin" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment_twin" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment_twin" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment_twin" name="distribution" x="@birthRate.t:alignment_twin">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment_twin" id="treeLikelihood.alignment_twin" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment_twin">
#            <siteModel id="SiteModel.s:alignment_twin" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment_twin" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment_twin" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment_twin" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment_twin" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment_twin" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment_twin" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8061.6059812058475	-8051.195594169865	-10.410387035981923	-8051.195594169865	3.5338720092411458	-10.410387035981923	1.0
1000	-6263.361697408768	-6260.648648551812	-2.7130488569567923	-6260.648648551812	1.0063127859287282	-2.7130488569567923	1.5726568012969293
2000	-6263.380673893853	-6260.578842155073	-2.801831738779267	-6260.578842155073	0.9678124419612945	-2.801831738779267	2.110933546657352
3000	-6264.412944451409	-6260.67755406387	-3.7353903875388204	-6260.67755406387	0.9028183792979465	-3.7353903875388204	3.4225788611881907
4000	-6262.648983595612	-6259.936718937663	-2.7122646579489826	-6259.936718937663	0.8752020593655733	-2.7122646579489826	2.529369683237637
5000	-6263.24624321085	-6259.709812239905	-3.536430970945166	-6259.709812239905	0.9436586916451875	-3.536430970945166	0.7918319868814914
6000	-6261.910148675334	-6259.150195638929	-2.7599530364046414	-6259.150195638929	0.991490333169954	-2.7599530364046414	1.2655725285060189
7000	-6264.779975383676	-6261.90101639207	-2.878958991606215	-6261.90101639207	1.052819859357736	-2.878958991606215	1.7899998327706388
8000	-6263.749161108648	-6261.157954056364	-2.591207052283294	-6261.157954056364	0.9658604623756708	-2.591207052283294	1.6050988339682635
9000	-6263.420624113673	-6260.432946432214	-2.987677681459406	-6260.432946432214	1.0219938404684867	-2.987677681459406	2.1054275907714657
10000	-6263.16826928526	-6260.716408864139	-2.4518604211205495	-6260.716408864139	0.9128723930016207	-2.4518604211205495	1.4213460702285716
11000	-6263.100817995744	-6259.711089190806	-3.389728804938823	-6259.711089190806	0.9406126512698404	-3.389728804938823	2.8045657783580547
12000	-6262.150587975173	-6259.2351129962035	-2.915474978969565	-6259.2351129962035	0.976564386152466	-2.915474978969565	2.09695962839329
13000	-6264.608465592447	-6261.980886833617	-2.6275787588302264	-6261.980886833617	0.9576431631092877	-2.6275787588302264	1.7948823736353545
14000	-6265.458831017257	-6261.670509170227	-3.78832184703013	-6261.670509170227	1.0480583708888835	-3.78832184703013	2.522681113118212
15000	-6262.351886093821	-6259.713588809816	-2.638297284004747	-6259.713588809816	0.955319512038101	-2.638297284004747	1.2670332743534232
16000	-6263.663333939804	-6261.027369251992	-2.635964687811822	-6261.027369251992	1.0093110067504891	-2.635964687811822	1.4843405361982502
17000	-6264.064697829455	-6261.663868955133	-2.400828874322859	-6261.663868955133	0.9208184680937502	-2.400828874322859	1.4342204682582373
18000	-6262.952843816057	-6259.263936545539	-3.6889072705178467	-6259.263936545539	1.03789604604312	-3.6889072705178467	0.7972427592355606
19000	-6265.298859759056	-6262.584930891607	-2.7139288674491295	-6262.584930891607	0.9757377332044822	-2.7139288674491295	1.2312059524049614
20000	-6265.427740062991	-6262.454408077303	-2.9733319856878113	-6262.454408077303	0.9597360104604035	-2.9733319856878113	2.2164211476755775
21000	-6263.051277103632	-6260.332927961914	-2.7183491417181953	-6260.332927961914	0.9683139824849444	-2.7183491417181953	1.9158457494963688
22000	-6265.194719932139	-6261.919831400158	-3.274888531981176	-6261.919831400158	1.0095517987996305	-3.274888531981176	0.9410214443513373
23000	-6266.133178565215	-6261.567372111551	-4.565806453664164	-6261.567372111551	1.0255105206023356	-4.565806453664164	3.479199704170168
24000	-6263.638042789279	-6260.9807915665315	-2.6572512227475897	-6260.9807915665315	1.0265903685878501	-2.6572512227475897	1.696135068168863
25000	-6264.88026616105	-6262.481218101496	-2.3990480595536257	-6262.481218101496	0.8926860817983533	-2.3990480595536257	1.2914132150234674
26000	-6263.761554446367	-6261.151159912253	-2.6103945341135555	-6261.151159912253	0.8780887417488247	-2.6103945341135555	1.1495757894449246
27000	-6262.087460332702	-6259.184714131157	-2.902746201544625	-6259.184714131157	1.0329322555270823	-2.902746201544625	1.2594214877857548
28000	-6263.890638579801	-6260.931656970515	-2.95898160928583	-6260.931656970515	1.058239695842275	-2.95898160928583	1.4917853035319049
29000	-6263.533658285732	-6260.307547902889	-3.2261103828424926	-6260.307547902889	1.0455827813086491	-3.2261103828424926	1.0572286066152075
30000	-6266.221922545473	-6262.882099688749	-3.3398228567240764	-6262.882099688749	1.0393703305385191	-3.3398228567240764	2.425940511198925
31000	-6268.2954245906385	-6264.043573222778	-4.251851367860592	-6264.043573222778	1.0839501423224958	-4.251851367860592	2.7261011578815393
32000	-6263.6869865671215	-6261.268685832939	-2.418300734182189	-6261.268685832939	0.8909696161516764	-2.418300734182189	1.748867520022189
33000	-6265.794079328038	-6259.429071320054	-6.365008007982887	-6259.429071320054	0.9371987880144965	-6.365008007982887	4.648529690970688
34000	-6267.603793097271	-6264.427969839175	-3.17582325809604	-6264.427969839175	1.0817652835543072	-3.17582325809604	1.1892584968867324
35000	-6262.55188354186	-6259.958342501534	-2.5935410403252135	-6259.958342501534	0.9452687040423476	-2.5935410403252135	1.477723026646135
36000	-6262.425871433806	-6260.050626687522	-2.37524474628405	-6260.050626687522	0.913025033713041	-2.37524474628405	1.5946217616567038
37000	-6265.257157044303	-6262.003211417628	-3.2539456266749234	-6262.003211417628	1.0406359186170557	-3.2539456266749234	2.4838391111592344
38000	-6268.220466026308	-6263.9760761233865	-4.2443899029215615	-6263.9760761233865	0.9847564363964596	-4.2443899029215615	3.2205430124442334
39000	-6266.272823179077	-6263.835749687041	-2.4370734920356036	-6263.835749687041	0.9057383330827826	-2.4370734920356036	2.026481768057243
40000	-6262.289314357756	-6259.425667421837	-2.8636469359193866	-6259.425667421837	0.9744987473524336	-2.8636469359193866	2.2701887349335492
41000	-6263.720290327129	-6260.840139417965	-2.880150909164854	-6260.840139417965	0.9867300414864413	-2.880150909164854	1.885058010391387
42000	-6263.465445327967	-6260.669876693821	-2.795568634146278	-6260.669876693821	0.9873747863478456	-2.795568634146278	1.2795218359290648
43000	-6263.795749492051	-6261.181357187705	-2.6143923043464397	-6261.181357187705	0.9219573991097774	-2.6143923043464397	1.8580034341224059
44000	-6264.948193850739	-6262.371143497093	-2.5770503536463583	-6262.371143497093	0.9085262338939856	-2.5770503536463583	1.1772237344208516
45000	-6263.809586375164	-6260.731758623344	-3.077827751820124	-6260.731758623344	0.9131582260076108	-3.077827751820124	2.661357772743714
46000	-6264.429266290261	-6261.796642633313	-2.6326236569474295	-6261.796642633313	1.0081131124567113	-2.6326236569474295	1.4778912293371782
47000	-6267.281257510021	-6261.666403292714	-5.614854217306851	-6261.666403292714	1.0071294890140292	-5.614854217306851	4.012186818510123
48000	-6266.933454013591	-6263.6563523877585	-3.2771016258324757	-6263.6563523877585	0.8831042878478447	-3.2771016258324757	3.02914129215755
49000	-6267.002034712149	-6264.338168560223	-2.6638661519260443	-6264.338168560223	0.9521270236020388	-2.6638661519260443	1.1402791513152748
50000	-6263.9767183122385	-6261.328705898323	-2.648012413915307	-6261.328705898323	1.0099948082777361	-2.648012413915307	1.486153211626907
51000	-6266.300480501067	-6261.00417211087	-5.296308390196887	-6261.00417211087	0.9855536372466673	-5.296308390196887	3.7819637749375867
52000	-6264.137889920597	-6261.537031422767	-2.6008584978308136	-6261.537031422767	0.9770998978757607	-2.6008584978308136	1.5217307344680597
53000	-6263.701451027777	-6259.924175843897	-3.777275183879817	-6259.924175843897	0.9610385644379948	-3.777275183879817	3.165290045544611
54000	-6266.494165957607	-6263.286330112023	-3.207835845584211	-6263.286330112023	0.9369016479491851	-3.207835845584211	0.9054981105879614
55000	-6262.015646283157	-6259.021122594549	-2.9945236886086395	-6259.021122594549	0.9468694891197879	-2.9945236886086395	1.0335955158545798
56000	-6264.1470141463915	-6261.289563879436	-2.857450266954953	-6261.289563879436	0.8700370093004578	-2.857450266954953	1.0200318594009041
57000	-6264.495513645593	-6260.946416352572	-3.5490972930209	-6260.946416352572	1.016364672523423	-3.5490972930209	2.505212456635918
58000	-6262.786097683123	-6259.434200056982	-3.351897626140884	-6259.434200056982	0.9812986123095616	-3.351897626140884	2.700059255407666
59000	-6262.944747013018	-6260.379222641372	-2.5655243716462004	-6260.379222641372	0.9464329402683402	-2.5655243716462004	1.9590249223150185
60000	-6270.936109359605	-6267.968710365868	-2.967398993737623	-6267.968710365868	1.0443605793477906	-2.967398993737623	2.130348104593411
61000	-6265.179438572031	-6261.740203247808	-3.4392353242238336	-6261.740203247808	1.0480768080648162	-3.4392353242238336	2.2940460795218716
62000	-6263.745801179661	-6261.070331260642	-2.675469919018795	-6261.070331260642	0.9926873542682346	-2.675469919018795	1.426805903033802
63000	-6264.242373275542	-6261.428255109818	-2.8141181657243037	-6261.428255109818	1.0132318000426985	-2.8141181657243037	1.618865363152796
64000	-6262.590727281971	-6260.069006501908	-2.5217207800634425	-6260.069006501908	0.9685503668649696	-2.5217207800634425	1.626471937954061
65000	-6262.585620306853	-6259.824196901022	-2.7614234058308416	-6259.824196901022	0.9433442114014301	-2.7614234058308416	1.18621785117002
66000	-6262.828705970169	-6259.7748406660285	-3.0538653041399475	-6259.7748406660285	0.9101171296184274	-3.0538653041399475	2.585571365531103
67000	-6264.090828367521	-6261.292911118153	-2.7979172493674853	-6261.292911118153	0.9898265428905	-2.7979172493674853	1.279091090946654
68000	-6265.364248069292	-6261.862869128816	-3.5013789404764046	-6261.862869128816	1.1008206599198926	-3.5013789404764046	0.9312976555582707
69000	-6263.3135836850315	-6260.298176801386	-3.015406883645597	-6260.298176801386	0.9457350302282728	-3.015406883645597	2.5672517371208126
70000	-6263.591723558767	-6260.844966347016	-2.746757211750359	-6260.844966347016	0.9150525167008977	-2.746757211750359	1.12725536407623
71000	-6265.389896298711	-6262.392428635168	-2.997467663543746	-6262.392428635168	0.9512742368915533	-2.997467663543746	2.286555802590763
72000	-6262.82185283027	-6260.151979836934	-2.669872993335782	-6260.151979836934	0.9451913542676206	-2.669872993335782	1.4668421581100881
73000	-6265.373191645987	-6260.5744153507885	-4.798776295199082	-6260.5744153507885	1.0101306218834105	-4.798776295199082	3.6194172907421156
74000	-6264.78697738445	-6261.909898019941	-2.8770793645098323	-6261.909898019941	1.0036881838268008	-2.8770793645098323	1.735340166959489
75000	-6262.978526182259	-6260.557986283066	-2.420539899192275	-6260.557986283066	0.9161725874830312	-2.420539899192275	1.634080022383205
76000	-6265.664896003721	-6262.847017355293	-2.817878648428061	-6262.847017355293	0.9473066235768095	-2.817878648428061	2.464619630069983
77000	-6264.922025734867	-6262.159925636482	-2.762100098385623	-6262.159925636482	0.9153688021175839	-2.762100098385623	2.502888106456617
78000	-6263.7186579944355	-6260.427026707374	-3.2916312870607043	-6260.427026707374	0.9314812355321622	-3.2916312870607043	0.9088284748379882
79000	-6267.208995975025	-6264.515724181491	-2.6932717935334196	-6264.515724181491	0.9864711670265394	-2.6932717935334196	1.9437381388043522
80000	-6263.485739002368	-6260.4163460346335	-3.069392967734351	-6260.4163460346335	0.9079640187796861	-3.069392967734351	0.9409393705543363
81000	-6264.431932397483	-6261.538539902873	-2.8933924946106413	-6261.538539902873	0.890843765565408	-2.8933924946106413	2.481888259377546
82000	-6262.753934551823	-6260.291248781714	-2.4626857701083793	-6260.291248781714	0.9183779818732755	-2.4626857701083793	1.4787623655520206
83000	-6261.631982289177	-6259.112402616553	-2.5195796726247925	-6259.112402616553	0.9393431323692244	-2.5195796726247925	1.7150576122062773
84000	-6263.941971005279	-6260.940287241171	-3.0016837641077863	-6260.940287241171	0.8876799941150115	-3.0016837641077863	2.7836885214385942
85000	-6263.086130914598	-6259.1636105673715	-3.9225203472256305	-6259.1636105673715	0.9708354576836564	-3.9225203472256305	3.0243447488177995
86000	-6264.06708395758	-6261.0719492787775	-2.995134678802134	-6261.0719492787775	1.1101726158242544	-2.995134678802134	1.3670624796256101
87000	-6262.869006045439	-6260.087721811099	-2.7812842343400823	-6260.087721811099	0.9682381247262098	-2.7812842343400823	2.092530207877546
88000	-6265.757204624429	-6261.010781108064	-4.746423516364564	-6261.010781108064	0.930016277360784	-4.746423516364564	3.6870032794337524
89000	-6262.629872173354	-6259.53125114498	-3.098621028373359	-6259.53125114498	0.9317988821312302	-3.098621028373359	0.9717784261450757
90000	-6264.863644134031	-6262.350312576332	-2.5133315576997273	-6262.350312576332	0.9099003212211964	-2.5133315576997273	1.6508755063218443
91000	-6266.576482485004	-6263.664521223188	-2.911961261815982	-6263.664521223188	1.0593679100897742	-2.911961261815982	1.2262635723701936
92000	-6267.431235338265	-6264.463817724291	-2.967417613973736	-6264.463817724291	1.0026138112273426	-2.967417613973736	1.9443074796946735
93000	-6267.402598828377	-6265.1176996533695	-2.2848991750081975	-6265.1176996533695	0.8458111326127955	-2.2848991750081975	1.9780097618167574
94000	-6263.59740549248	-6259.965126827388	-3.6322786650919343	-6259.965126827388	1.0265969780748703	-3.6322786650919343	2.569779808707181
95000	-6263.673966644907	-6261.057665401238	-2.616301243667917	-6261.057665401238	1.0016646685350516	-2.616301243667917	1.6209892202938574
96000	-6263.040862889575	-6260.256627540754	-2.784235348820428	-6260.256627540754	1.0058513818039096	-2.784235348820428	1.5588123031422276
97000	-6266.039959755899	-6263.6408868904755	-2.399072865423223	-6263.6408868904755	0.9153711190443765	-2.399072865423223	1.8502987941363411
98000	-6265.368009092028	-6262.038312965187	-3.329696126840771	-6262.038312965187	1.0205863036323581	-3.329696126840771	0.938642004257902
99000	-6263.570295941762	-6260.481498630336	-3.0887973114256315	-6260.481498630336	0.9412266210348167	-3.0887973114256315	2.459634974360561
