#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:twin_alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:twin_alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:twin_alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:twin_alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.twin_alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:twin_alignment" name="distribution" x="@BDBirthRate.t:twin_alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:twin_alignment" name="distribution" x="@BDDeathRate.t:twin_alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@twin_alignment" id="treeLikelihood.twin_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:twin_alignment">
#            <siteModel id="SiteModel.s:twin_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:twin_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:twin_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:twin_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:twin_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:twin_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:twin_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	BirthDeath	BDBirthRate	BDDeathRate
0	-8054.5337268470175	-8042.081203017076	-12.452523829941558	-8042.081203017076	3.5338720092411458	-12.452523829941558	1.0	0.5
1000	-6242.406819670246	-6239.63825140566	-2.7685682645850016	-6239.63825140566	1.0405708517568413	-2.7685682645850016	1.2981018584806412	0.24904006347005997
2000	-6241.807629740748	-6238.927467436966	-2.8801623037814243	-6238.927467436966	1.077418440258708	-2.8801623037814243	1.0717042347241226	0.5123479951135474
3000	-6241.891980851051	-6238.694479894638	-3.1975009564127053	-6238.694479894638	1.2223962949529	-3.1975009564127053	1.1917511292805307	0.2795592584244897
4000	-6244.510737558896	-6241.607835766583	-2.902901792312823	-6241.607835766583	1.0817513326230475	-2.902901792312823	1.195203342142955	0.32019686931818114
5000	-6242.359889758231	-6238.2898098003225	-4.07007995790792	-6238.2898098003225	1.0188727478393726	-4.07007995790792	1.1602045881431076	0.819076439486587
6000	-6241.531995266634	-6238.512338941308	-3.019656325325496	-6238.512338941308	1.1100734987235732	-3.019656325325496	0.7041514056522538	0.5867555188328912
7000	-6242.819292379215	-6240.119866959234	-2.6994254199810506	-6240.119866959234	1.0122989896661085	-2.6994254199810506	0.5396843616860759	0.8140973677352505
8000	-6241.012990649568	-6238.1107754831655	-2.902215166402032	-6238.1107754831655	1.0701593347950369	-2.902215166402032	0.8946093745469839	0.41453830550922843
9000	-6244.307346939489	-6241.243191931836	-3.0641550076535315	-6241.243191931836	1.1535225081208722	-3.0641550076535315	0.7087564398868559	0.6451802800313898
10000	-6241.326275464121	-6238.327699108308	-2.998576355813359	-6238.327699108308	1.0774618976936212	-2.998576355813359	0.8359757164683671	0.3338564781502922
11000	-6241.038108650899	-6238.095552961501	-2.9425556893976523	-6238.095552961501	1.0346367557695222	-2.9425556893976523	0.8609968659920264	0.3861278352720832
12000	-6240.574400718703	-6237.856541609808	-2.7178591088947526	-6237.856541609808	1.034084294344082	-2.7178591088947526	1.2337872845044853	0.48463189035676135
13000	-6241.54834570088	-6238.731554814113	-2.8167908867674347	-6238.731554814113	1.0853985908045167	-2.8167908867674347	1.4607472307931495	0.1939653363867381
14000	-6242.604877196505	-6239.024440159845	-3.580437036660057	-6239.024440159845	1.0910051897110211	-3.580437036660057	1.1582681251720843	0.7611774094903518
15000	-6241.833074264517	-6238.35977327516	-3.473300989356762	-6238.35977327516	1.1750100067253053	-3.473300989356762	0.5741924875815178	0.5189919933203577
